"tile","shuffled","mean_neg","mean_pos","mean_diff"
"10TES",10,20.9,19.4,3.21565925112081
"17SNB",10,22.5,15.7,2.32339836119915
"20MMD",10,34.6,30,-2.89271601421423
"32TMT",10,27.7,10.2,1.29243791666585
"32UQU",10,18.4,6.8,3.03151869315236
"33NTG",10,31.6,10.6,-0.246673309777134
"34UFD",10,10.1,3,1.62760320991913
"35VML",10,3.6,2.6,3.75371964509892
"49NHC",10,39.9,37.6,-5.72729898968613
"49UCP",10,6.3,4.5,-0.0511244104620392
"55HEV",10,18.1,3.4,0.359251316753276
"10TES",20,24.8,18.6,3.39768693576205
"17SNB",20,19.3,16.9,3.36988290579811
"20MMD",20,35.4,29.9,-0.872706776529881
"32TMT",20,27.4,9.3,0.979537948130621
"32UQU",20,19,5.1,2.62749746244217
"33NTG",20,32.4,4.9,-2.18173238877365
"34UFD",20,10.8,3.2,2.39055772559937
"35VML",20,3.7,2.6,4.7731984070763
"49NHC",20,40.2,35.4,-7.17162148246718
"49UCP",20,12.7,3.3,2.72802288566817
"55HEV",20,16.3,3,-0.498815081906402
"10TES",30,23.9,19.2,4.66159855652762
"17SNB",30,24.6,15.8,4.88899658692119
"20MMD",30,34.4,33.6,-1.91985820437885
"32TMT",30,27.8,10.4,1.94265871254843
"32UQU",30,19.9,5.4,3.80263572621213
"33NTG",30,31.4,15.5,0.962461990294034
"34UFD",30,11.3,3.4,3.10573067769263
"35VML",30,4.1,2.6,4.19084050284647
"49NHC",30,40.2,37.3,-6.3227394406027
"49UCP",30,14,3.7,4.35948744779429
"55HEV",30,15.9,2.3,-1.93562125148618
"10TES",50,24.1,18.7,4.15760216904544
"17SNB",50,24.5,17.3,9.77905444542425
"20MMD",50,34.8,26.2,-3.07993743977462
"32TMT",50,27,8.6,0.20969355022028
"32UQU",50,19.9,5.5,4.58525856065471
"33NTG",50,33.4,5,-1.78761974026422
"34UFD",50,11.6,3.6,4.32136088015548
"35VML",50,6.2,2.6,4.08956605865763
"49NHC",50,40.1,29.9,-13.7621757744981
"49UCP",50,8,3.2,1.00819006926527
"55HEV",50,15.9,2.2,-2.46022181643977
"10TES",80,24,18.1,3.76810976758268
"17SNB",80,22.6,16.5,5.2580545012674
"20MMD",80,36.3,33.3,1.16193495650104
"32TMT",80,27.2,9.2,0.942767718676146
"32UQU",80,19.2,4.5,3.48811992311098
"33NTG",80,33,3.2,-4.45999770035078
"34UFD",80,11,2.9,3.18008821290909
"35VML",80,6.4,2.6,5.61365030510763
"49NHC",80,40.4,25.4,-13.6011542340763
"49UCP",80,11.9,2.9,3.1421201958049
"55HEV",80,18.1,3.5,0.641871870270052
