"Continent","Latitude","Name","Country","Centeroid_Elevation","Source"
"Africa",5.8,"33NTG","Cameroon",754,"Paper"
"Asia",47.3,"50TPT","Mongolia",902,"Munich"
"Asia",2.2,"49NHC","Malaysia",401,"PAPER"
"Europe",47.4,"32TMT","Switzerland",590,"PAPER"
"Europe",48.2,"32UQU","Germany",422,"Munich"
"Europe",52.7,"34UFD","Poland",154,"Munich"
"Europe",63.5,"35VML","Finland",201,"Münster"
"North America",46.5,"10TES","United States of America",392,"PAPER"
"North America",37.5,"17SNB","United States of America",682,"BOTH"
"Oceania",-36.6,"55HEV","Australia",562,"Münster"
"South America",-1.4,"20MMD","Brazil",56,"Münster"
