"Continent","Latitude","Name","Country","Centeroid_Elevation","Source"
"Africa",33.8,"30SUC","Morocco",894,"MU"
"Africa",-13.2,"34LCL","Angola",1449,"MU"
"Africa",-4.1,"34MCA","Democratic Republic of the Congo",366,"MS"
"Africa",-21.3,"38KQB","Madagascar",775,"MU"
"Asia",26.6,"47RMK","Myanmar",2443,"MU"
"Asia",14,"48PXA","Cambodia",109,"MS"
"Asia",1.3,"49NHB","Indonesia",780,"MU"
"Asia",47.4,"50TNT","Mongolia",687,"MU"
"Asia",-5.9,"54MTU","Indonesia",26,"MS"
"Europe",47.4,"32TMT","Switzerland",590,"BOTH"
"Europe",48.2,"32UQU","Germany",422,"MU"
"Europe",63.5,"35VML","Finland",201,"MS"
"North America",50,"10UFA","Canada",751,"MS"
"North America",47.4,"11TNN","United States of America",1092,"MU"
"North America",37.5,"17SNB","United States of America",682,"BOTH"
"Oceania",-13.2,"52LFL","Australia",8,"MU"
"Oceania",-36.6,"55HEV","Australia",562,"MS"
"South America",-16.8,"19KGB","Bolivia",3888,"MU"
"South America",-1.4,"20MMD","Brazil",56,"MS"
"South America",-4.1,"21MYR","Brazil",147,"MU"
