"","Step","Minutes"
"1","1/164",9.96
"2","2/164",8.19
"3","3/164",6.71
"4","4/164",26.59
"5","5/164",26.53
"6","6/164",6.64
"7","7/164",8.22
"8","8/164",9.87
"9","9/164",26.25
"10","10/164",6.65
"11","11/164",8.21
"12","12/164",9.87
"13","13/164",26.26
"14","14/164",6.64
"15","15/164",8.21
"16","16/164",9.88
"17","17/164",26.27
"18","18/164",6.65
"19","19/164",8.2
"20","20/164",9.89
"21","21/164",26.28
"22","22/164",6.64
"23","23/164",8.18
"24","24/164",9.88
"25","25/164",26.22
"26","26/164",6.63
"27","27/164",8.2
"28","28/164",9.87
"29","29/164",26.23
"30","30/164",6.65
"31","31/164",8.21
"32","32/164",9.86
"33","33/164",26.19
"34","34/164",6.62
"35","35/164",8.19
"36","36/164",9.89
"37","37/164",26.16
"38","38/164",6.62
"39","39/164",8.15
"40","40/164",9.86
"41","41/164",26.19
"42","42/164",6.62
"43","43/164",8.17
"44","44/164",9.85
"45","45/164",26.18
"46","46/164",6.61
"47","47/164",8.15
"48","48/164",9.84
"49","49/164",26.2
"50","50/164",6.68
"51","51/164",8.18
"52","52/164",9.84
"53","53/164",26.19
"54","54/164",6.63
"55","55/164",8.19
"56","56/164",9.83
"57","57/164",26.16
"58","58/164",6.62
"59","59/164",8.14
"60","60/164",9.84
"61","61/164",26.12
"62","62/164",6.6
"63","63/164",8.16
"64","64/164",9.83
"65","65/164",26.16
"66","66/164",6.6
"67","67/164",8.15
"68","68/164",9.82
"69","69/164",26.1
"70","70/164",6.61
"71","71/164",8.15
"72","72/164",9.89
"73","73/164",26.1
"74","74/164",6.66
"75","75/164",8.13
"76","76/164",9.81
"77","77/164",26.09
"78","78/164",6.61
"79","79/164",8.14
"80","80/164",9.84
"81","81/164",26.11
"82","82/164",6.61
"83","83/164",8.16
"84","84/164",9.81
"85","85/164",26.15
"86","86/164",6.61
"87","87/164",8.16
"88","88/164",9.82
"89","89/164",26.12
"90","90/164",6.6
"91","91/164",8.13
"92","92/164",9.81
"93","93/164",26.1
"94","94/164",6.61
"95","95/164",8.16
"96","96/164",9.82
"97","97/164",26.13
"98","98/164",6.6
"99","99/164",8.16
"100","100/164",9.83
"101","101/164",26.12
"102","102/164",6.61
"103","103/164",8.16
"104","104/164",9.85
"105","105/164",26.14
"106","106/164",6.61
"107","107/164",8.15
"108","108/164",9.82
"109","109/164",26.14
"110","110/164",6.62
"111","111/164",8.16
"112","112/164",9.85
"113","113/164",26.15
"114","114/164",6.63
"115","115/164",8.17
"116","116/164",9.84
"117","117/164",26.22
"118","118/164",6.62
"119","119/164",8.17
"120","120/164",9.84
"121","121/164",26.22
"122","122/164",6.63
"123","123/164",8.16
"124","124/164",9.86
"125","125/164",26.21
"126","126/164",6.62
"127","127/164",8.16
"128","128/164",9.92
"129","129/164",26.19
"130","130/164",6.62
"131","131/164",8.19
"132","132/164",9.88
"133","133/164",26.22
"134","134/164",6.63
"135","135/164",8.18
"136","136/164",9.87
"137","137/164",26.19
"138","138/164",6.63
"139","139/164",8.17
"140","140/164",9.85
"141","141/164",26.22
"142","142/164",6.63
"143","143/164",8.15
"144","144/164",9.88
"145","145/164",26.17
"146","146/164",6.63
"147","147/164",8.18
"148","148/164",9.84
"149","149/164",26.15
"150","150/164",6.61
"151","151/164",8.16
"152","152/164",9.86
"153","153/164",26.13
"154","154/164",6.61
"155","155/164",8.15
"156","156/164",9.93
"157","157/164",26.12
"158","158/164",6.61
"159","159/164",8.13
"160","160/164",9.86
"161","161/164",26.16
"162","162/164",6.6
"163","163/164",8.15
"164","164/164",9.83
