"","Step","Minutes"
"1","1/99",8.15
"2","2/99",14.39
"3","3/99",14.33
"4","4/99",14.34
"5","5/99",14.38
"6","6/99",8.1
"7","7/99",14.35
"8","8/99",14.4
"9","9/99",8.09
"10","10/99",14.36
"11","11/99",14.39
"12","12/99",8.1
"13","13/99",14.33
"14","14/99",14.44
"15","15/99",8.14
"16","16/99",14.38
"17","17/99",14.4
"18","18/99",8.12
"19","19/99",14.39
"20","20/99",14.39
"21","21/99",8.1
"22","22/99",14.35
"23","23/99",14.39
"24","24/99",8.11
"25","25/99",14.35
"26","26/99",14.46
"27","27/99",8.1
"28","28/99",14.35
"29","29/99",14.4
"30","30/99",8.1
"31","31/99",14.33
"32","32/99",14.41
"33","33/99",8.1
"34","34/99",14.38
"35","35/99",14.4
"36","36/99",8.11
"37","37/99",14.32
"38","38/99",14.37
"39","39/99",8.11
"40","40/99",14.33
"41","41/99",14.4
"42","42/99",8.1
"43","43/99",14.36
"44","44/99",14.38
"45","45/99",8.12
"46","46/99",14.33
"47","47/99",14.36
"48","48/99",8.1
"49","49/99",14.33
"50","50/99",14.43
"51","51/99",8.09
"52","52/99",14.36
"53","53/99",14.4
"54","54/99",8.09
"55","55/99",14.33
"56","56/99",14.38
"57","57/99",8.09
"58","58/99",14.33
"59","59/99",14.42
"60","60/99",8.1
"61","61/99",14.32
"62","62/99",14.36
"63","63/99",8.1
"64","64/99",14.31
"65","65/99",14.35
"66","66/99",8.1
"67","67/99",14.32
"68","68/99",14.37
"69","69/99",8.12
"70","70/99",14.34
"71","71/99",14.35
"72","72/99",8.09
"73","73/99",14.37
"74","74/99",14.38
"75","75/99",8.09
"76","76/99",14.31
"77","77/99",14.37
"78","78/99",8.1
"79","79/99",14.32
"80","80/99",14.39
"81","81/99",8.09
"82","82/99",14.32
"83","83/99",14.38
"84","84/99",8.08
"85","85/99",14.35
"86","86/99",14.36
"87","87/99",8.11
"88","88/99",14.37
"89","89/99",14.38
"90","90/99",8.1
"91","91/99",14.35
"92","92/99",14.41
"93","93/99",8.09
"94","94/99",14.35
"95","95/99",14.39
"96","96/99",8.1
"97","97/99",14.34
"98","98/99",14.41
"99","99/99",8.12
