"","Step","Minutes"
"1","1/164",9.89
"2","2/164",8.28
"3","3/164",6.6
"4","4/164",26.46
"5","5/164",26.25
"6","6/164",6.65
"7","7/164",8.27
"8","8/164",9.79
"9","9/164",25.94
"10","10/164",6.6
"11","11/164",8.1
"12","12/164",9.79
"13","13/164",26.02
"14","14/164",6.61
"15","15/164",8.12
"16","16/164",9.78
"17","17/164",26.03
"18","18/164",6.58
"19","19/164",8.14
"20","20/164",9.79
"21","21/164",26.03
"22","22/164",6.59
"23","23/164",8.12
"24","24/164",9.81
"25","25/164",26.02
"26","26/164",6.6
"27","27/164",8.1
"28","28/164",9.78
"29","29/164",25.97
"30","30/164",6.58
"31","31/164",8.11
"32","32/164",9.79
"33","33/164",25.94
"34","34/164",6.56
"35","35/164",8.11
"36","36/164",9.78
"37","37/164",25.94
"38","38/164",6.59
"39","39/164",8.1
"40","40/164",9.77
"41","41/164",25.93
"42","42/164",6.59
"43","43/164",8.09
"44","44/164",9.78
"45","45/164",25.93
"46","46/164",6.57
"47","47/164",8.11
"48","48/164",9.76
"49","49/164",25.92
"50","50/164",6.58
"51","51/164",8.12
"52","52/164",9.76
"53","53/164",25.94
"54","54/164",6.55
"55","55/164",8.09
"56","56/164",9.78
"57","57/164",25.94
"58","58/164",6.56
"59","59/164",8.1
"60","60/164",9.74
"61","61/164",25.91
"62","62/164",6.56
"63","63/164",8.08
"64","64/164",9.78
"65","65/164",25.89
"66","66/164",6.56
"67","67/164",8.1
"68","68/164",9.77
"69","69/164",25.88
"70","70/164",6.57
"71","71/164",8.08
"72","72/164",9.75
"73","73/164",25.89
"74","74/164",6.55
"75","75/164",8.08
"76","76/164",9.73
"77","77/164",25.86
"78","78/164",6.54
"79","79/164",8.07
"80","80/164",9.76
"81","81/164",25.85
"82","82/164",6.54
"83","83/164",8.08
"84","84/164",9.75
"85","85/164",25.83
"86","86/164",6.55
"87","87/164",8.07
"88","88/164",9.74
"89","89/164",25.82
"90","90/164",6.55
"91","91/164",8.07
"92","92/164",9.76
"93","93/164",25.88
"94","94/164",6.55
"95","95/164",8.08
"96","96/164",9.76
"97","97/164",25.87
"98","98/164",6.55
"99","99/164",8.09
"100","100/164",9.77
"101","101/164",25.95
"102","102/164",6.6
"103","103/164",8.16
"104","104/164",9.85
"105","105/164",26.35
"106","106/164",6.58
"107","107/164",8.14
"108","108/164",9.78
"109","109/164",26.01
"110","110/164",6.58
"111","111/164",8.12
"112","112/164",9.8
"113","113/164",26.07
"114","114/164",6.58
"115","115/164",8.14
"116","116/164",9.81
"117","117/164",26.05
"118","118/164",6.62
"119","119/164",8.15
"120","120/164",9.84
"121","121/164",26.03
"122","122/164",6.6
"123","123/164",8.15
"124","124/164",9.82
"125","125/164",26.06
"126","126/164",6.6
"127","127/164",8.15
"128","128/164",9.82
"129","129/164",26.07
"130","130/164",6.61
"131","131/164",8.16
"132","132/164",9.85
"133","133/164",26.1
"134","134/164",6.6
"135","135/164",8.16
"136","136/164",9.86
"137","137/164",26.12
"138","138/164",6.64
"139","139/164",8.15
"140","140/164",9.83
"141","141/164",26.16
"142","142/164",6.61
"143","143/164",8.16
"144","144/164",9.84
"145","145/164",26.25
"146","146/164",6.62
"147","147/164",8.2
"148","148/164",9.85
"149","149/164",26.38
"150","150/164",6.74
"151","151/164",8.22
"152","152/164",9.86
"153","153/164",26.19
"154","154/164",6.62
"155","155/164",8.17
"156","156/164",9.85
"157","157/164",26.17
"158","158/164",6.65
"159","159/164",8.15
"160","160/164",9.86
"161","161/164",26.15
"162","162/164",6.62
"163","163/164",8.18
"164","164/164",9.87
