"tile","band","increment","decrease","average_difference","avg_diff_absoluteVals","Correlation","std_dev","out_name","year"
"T33UUT","B02",0,"True",0,0,NA,0,"T33UUT_original",2020
"T32ULB","B02",0,"True",0,0,NA,0,"T32ULB_original",2020
"T31UGT","B02",0,"True",0,0,NA,0,"T31UGT_original",2020
"T31UGT","B02",0.05,"False",0.391405117297886,0.76940726010454,NA,1.08373356702072,"T31UGT_B02_05_I",2020
"T32ULB","B02",0.05,"False",-0.150693076844818,0.88570379659183,NA,1.38874005818815,"T32ULB_B02_05_I",2020
"T33UUT","B02",0.05,"False",0.233393955226769,1.2075985349273,NA,1.92533298224788,"T33UUT_B02_05_I",2020
"T31UGT","B03",0.05,"False",-0.274976269517366,1.02889574212492,NA,1.53211415248694,"T31UGT_B03_05_I",2020
"T32ULB","B03",0.05,"False",-0.0427883950720842,0.847121687232346,NA,1.37101766265594,"T32ULB_B03_05_I",2020
"T33UUT","B03",0.05,"False",0.266522630955081,1.05783920188543,NA,1.57135010240382,"T33UUT_B03_05_I",2020
"T31UGT","B04",0.05,"False",0.209461731071708,0.832555270852392,NA,1.19847305179528,"T31UGT_B04_05_I",2020
"T32ULB","B04",0.05,"False",-0.580098546237997,0.966957361819444,NA,1.37723539313826,"T32ULB_B04_05_I",2020
"T33UUT","B04",0.05,"False",0.358967915814779,1.18309268026546,NA,1.6761809345797,"T33UUT_B04_05_I",2020
"T31UGT","B08",0.05,"False",0.856847703708859,1.0495180768109,NA,1.32443213446314,"T31UGT_B08_05_I",2020
"T32ULB","B08",0.05,"False",0.0747222576094216,0.920999128907652,NA,1.44511701738465,"T32ULB_B08_05_I",2020
"T33UUT","B08",0.05,"False",-1.47736810945288,1.67449517206331,NA,1.93526239914899,"T33UUT_B08_05_I",2020
"T31UGT","B02",0.05,"True",1.06895892001648,1.28941173400027,NA,1.64891054404605,"T31UGT_B02_05_D",2020
"T32ULB","B02",0.05,"True",0.517144151253425,0.936114803859182,NA,1.40232820997477,"T32ULB_B02_05_D",2020
"T33UUT","B02",0.05,"True",-0.0824509173015498,1.02319055520011,NA,1.50922107143091,"T33UUT_B02_05_D",2020
"T31UGT","B03",0.05,"True",0.233842344731679,0.75711603767511,NA,1.11748893247438,"T31UGT_B03_05_D",2020
"T32ULB","B03",0.05,"True",-0.295158765826434,0.998801085174868,NA,1.54244198474087,"T32ULB_B03_05_D",2020
"T33UUT","B03",0.05,"True",0.274740165552511,1.24241178964281,NA,1.75224222823982,"T33UUT_B03_05_D",2020
