"tile","band","increment","decrease","average_difference","avg_diff_absoluteVals","out_name","year"
"T33UUT","B01",0,"True",0,0,"T33UUT_original","2020"
"T32ULB","B01",0,"True",0,0,"T32ULB_original","2020"
"T31UGT","B01",0,"True",0,0,"T31UGT_original","2020"
"T31UGT","B03",0.05,"False",0.0498670102196606,0.937862983258373,"T31UGT_B03_0.05_I","2020"
"T32ULB","B03",0.05,"False",1.91487528460079,1.98424660495383,"T32ULB_B03_0.05_I","2020"
"T33UUT","B03",0.05,"False",-2.90955008539311,3.04428902595107,"T33UUT_B03_0.05_I","2020"
"T31UGT","B08",0.05,"False",0.555971301178957,0.981689962911723,"T31UGT_B08_0.05_I","2020"
"T32ULB","B08",0.05,"False",0.827243549751322,1.01581147194186,"T32ULB_B08_0.05_I","2020"
"T33UUT","B08",0.05,"False",-2.52963024130973,2.9556899406418,"T33UUT_B08_0.05_I","2020"
"T31UGT","B03",0.1,"False",0.568149293329981,1.05149056979171,"T31UGT_B03_0.1_I","2020"
"T32ULB","B03",0.1,"False",1.86814375193222,1.90818090788072,"T32ULB_B03_0.1_I","2020"
"T33UUT","B03",0.1,"False",1.3882413211871,2.56094457157195,"T33UUT_B03_0.1_I","2020"
"T31UGT","B08",0.1,"False",0.879248419826259,1.18155614340035,"T31UGT_B08_0.1_I","2020"
"T32ULB","B08",0.1,"False",2.93436658894049,2.9783062504755,"T32ULB_B08_0.1_I","2020"
"T33UUT","B08",0.1,"False",-1.05463844037613,2.60455061464202,"T33UUT_B08_0.1_I","2020"
"T31UGT","B03",0.15,"False",1.54040304377552,1.65642450937251,"T31UGT_B03_0.15_I","2020"
"T32ULB","B03",0.15,"False",1.66446842780249,1.77932012733667,"T32ULB_B03_0.15_I","2020"
"T33UUT","B03",0.15,"False",-1.516586849669,2.17631378761594,"T33UUT_B03_0.15_I","2020"
"T31UGT","B08",0.15,"False",1.63510529689439,1.77440413145838,"T31UGT_B08_0.15_I","2020"
"T32ULB","B08",0.15,"False",1.46731324097894,1.69024627902507,"T32ULB_B08_0.15_I","2020"
"T33UUT","B08",0.15,"False",-0.701525114592754,2.16215331581909,"T33UUT_B08_0.15_I","2020"
"T31UGT","B03",0.2,"False",1.7674517118419,2.00743513402589,"T31UGT_B03_0.2_I","2020"
"T32ULB","B03",0.2,"False",1.46767391115507,1.97822560605881,"T32ULB_B03_0.2_I","2020"
"T33UUT","B03",0.2,"False",-0.821350999705448,1.93849629947237,"T33UUT_B03_0.2_I","2020"
"T31UGT","B08",0.2,"False",1.01533073376616,1.98310807652837,"T31UGT_B08_0.2_I","2020"
"T32ULB","B08",0.2,"False",2.87584130121289,2.95936818201898,"T32ULB_B08_0.2_I","2020"
"T33UUT","B08",0.2,"False",1.32269329954995,2.49315057491341,"T33UUT_B08_0.2_I","2020"
