"tile","band","increment","decrease","average_difference","avg_abs_diff","avg_differece_percent","avg_abs_diff_perc","correlation","std_dev","out_name","year"
"20MMD","B02",0,"True",0,0,0,0,1,0,"20MMD_original",2020
"10TES","B04",0.05,"False",-1.6868976577287,1.91328875244699,-10.5538366798082,13.2427749090431,0.967615998163205,2.0200196517938,"10TES_B04_05_I",2020
"17SNB","B04",0.05,"False",0.0783712096081968,2.04829541989823,0.425743453484154,11.1006667793187,0.892421990011273,2.78360805963766,"17SNB_B04_05_I",2020
"20MMD","B04",0.05,"False",-2.73286773280933,2.90925061534994,-7.82079717668021,9.08959557965996,0.915341366458746,1.6898529223126,"20MMD_B04_05_I",2020
"10TES","B08",0.05,"False",0.269568248921242,1.14648060243395,2.42466679536891,9.12963428443604,0.982676225874959,1.51567501886973,"10TES_B08_05_I",2020
"17SNB","B08",0.05,"False",0.702126486449832,1.94463754032951,2.16186914821306,10.525319535691,0.939882301664312,2.38824543020179,"17SNB_B08_05_I",2020
"20MMD","B08",0.05,"False",-2.44596429924492,2.54417300136418,-7.37063607818509,7.94403762219794,0.928351836066371,1.59658002288307,"20MMD_B08_05_I",2020
"10TES","B02",0.05,"True",0.782154171535611,0.966938864278347,4.06069048027917,6.37954557061995,0.990741894386006,1.08616950232981,"10TES_B02_05_D",2020
"17SNB","B02",0.05,"True",0.874037811328261,1.70465212837869,4.64185237812479,9.34298516416426,0.93566143253182,2.11881029181587,"17SNB_B02_05_D",2020
"20MMD","B02",0.05,"True",-0.68330113073786,1.07600760328705,-1.81129383796088,3.49450905690065,0.948516482956855,1.33203793350406,"20MMD_B02_05_D",2020
"10TES","B03",0.05,"True",-0.0164464339709004,1.06589334711489,1.44195542390128,8.13301952744171,0.980094052826552,1.53912052526044,"10TES_B03_05_D",2020
"17SNB","B02",0,"True",0,0,0,0,1,0,"17SNB_original",2020
"17SNB","B03",0.05,"True",0.933246347633698,2.41181684789758,4.69048251953708,12.6601091960987,0.83721994947995,3.38050914291713,"17SNB_B03_05_D",2020
"20MMD","B03",0.05,"True",-5.12121569224391,5.14388166714104,-16.3938991636299,16.7051134195173,0.861313382272348,2.41232517645032,"20MMD_B03_05_D",2020
"10TES","B04",0.05,"True",-0.922231901444585,1.09950831276512,-6.30332215093493,8.76643463066537,0.985883183206244,1.36121383109162,"10TES_B04_05_D",2020
"17SNB","B04",0.05,"True",0.879938528019402,2.17296040879395,2.60394385661249,11.3607428559949,0.930139225085651,2.63195778475725,"17SNB_B04_05_D",2020
"20MMD","B04",0.05,"True",-0.508173465240222,1.12169876867677,-1.3270529064146,3.56316406214381,0.939971950777797,1.44051239496964,"20MMD_B04_05_D",2020
"10TES","B08",0.05,"True",0.557402696481154,0.866422846213131,4.21409020426378,7.27442793555081,0.990880980201484,1.06958842435249,"10TES_B08_05_D",2020
"17SNB","B08",0.05,"True",2.35225150621566,2.61599879164952,11.3702190611118,13.1503072858688,0.911543661671123,2.51405901622619,"17SNB_B08_05_D",2020
"20MMD","B08",0.05,"True",-6.42886160348542,6.47029990789647,-20.4987752682989,20.9884512392607,0.866078932222692,2.14511759412359,"20MMD_B08_05_D",2020
"10TES","B02",0.1,"False",2.18245328659204,2.24092389728778,12.640495238741,13.5127327144213,0.985179653524229,1.410705603403,"10TES_B02_10_I",2020
"17SNB","B02",0.1,"False",-1.9097778025699,2.59451543331196,-9.18506731396741,14.2054743055907,0.895675825907292,2.65368163559182,"17SNB_B02_10_I",2020
"10TES","B02",0,"True",0,0,0,0,1,0,"10TES_original",2020
"20MMD","B02",0.1,"False",2.06569441978885,2.11247769892415,5.92665614804188,6.11956972220566,0.958361436542896,1.22622525785825,"20MMD_B02_10_I",2020
"10TES","B03",0.1,"False",1.24896086439316,1.37352356320611,8.31267121910735,9.71623777392505,0.988662356712423,1.17713006062304,"10TES_B03_10_I",2020
"17SNB","B03",0.1,"False",3.37155120860822,3.8811584708147,14.5348991403558,18.069669727852,0.813395109338787,3.94939120286983,"17SNB_B03_10_I",2020
"20MMD","B03",0.1,"False",-4.80335386613733,4.82850275789742,-15.5387788480496,15.8693326008237,0.861593104918766,2.5532944485975,"20MMD_B03_10_I",2020
"10TES","B04",0.1,"False",-0.471894390895235,0.877504083126176,-2.45284693775636,7.85840268298538,0.987525573935656,1.25671813257346,"10TES_B04_10_I",2020
"17SNB","B04",0.1,"False",-0.103442445162904,2.0849518497565,-1.97901500241162,11.6097317307436,0.913358377513499,2.83035777673413,"17SNB_B04_10_I",2020
"20MMD","B04",0.1,"False",-0.325531914503538,1.16808593147058,-0.734343096259204,3.74367934563663,0.926900554905035,1.57781759042682,"20MMD_B04_10_I",2020
