"tile","band","increment","decrease","average_difference","avg_abs_diff","avg_difference_percent","avg_abs_diff_perc","correlation","std_dev","out_name","year"
"55HEV","B05",0,"True",0,0,0,0,1,0,"55HEV_original","2020"
"49UCP","B05",0,"True",0,0,0,0,1,0,"49UCP_original","2020"
"49NHC","B05",0,"True",0,0,0,0,1,0,"49NHC_original","2020"
"35VML","B05",0,"True",0,0,0,0,1,0,"35VML_original","2020"
"34UFD","B05",0,"True",0,0,0,0,1,0,"34UFD_original","2020"
"33NTG","B05",0,"True",0,0,0,0,1,0,"33NTG_original","2020"
"32UQU","B05",0,"True",0,0,0,0,1,0,"32UQU_original","2020"
"32TMT","B05",0,"True",0,0,0,0,1,0,"32TMT_original","2020"
"20MMD","B05",0,"True",0,0,0,0,1,0,"20MMD_original","2020"
"17SNB","B05",0,"True",0,0,0,0,1,0,"17SNB_original","2020"
"10TES","B05",0,"True",0,0,0,0,1,0,"10TES_original","2020"
"10TES","B05",0.05,"False",-2.0533036430584,2.06775100294119,-13.4378761848112,13.8315514171133,0.986496164578266,1.30390698953773,"10TES_B05_05_I","2020"
"17SNB","B05",0.05,"False",-0.306988932017587,1.50923189067915,-1.62548678535026,7.68686949178909,0.940300371261826,2.17533550362995,"17SNB_B05_05_I","2020"
"20MMD","B05",0.05,"False",0.405319335872574,1.27401961476321,1.46309428073214,4.13705250740987,0.919515765644639,1.65627930354785,"20MMD_B05_05_I","2020"
"32TMT","B05",0.05,"False",-0.467821946045302,0.836399259999847,-5.67540113777263,7.99658299694938,0.994586573650403,1.08879665634154,"32TMT_B05_05_I","2020"
"32UQU","B05",0.05,"False",-0.519719403924604,0.908313210380378,-7.01318051726308,15.5418355670053,0.984868561422913,1.40229468489892,"32UQU_B05_05_I","2020"
"33NTG","B05",0.05,"False",-0.392354739277286,1.08766995404398,1.32226499209863,16.0860170077822,0.993450106238203,1.72499618125298,"33NTG_B05_05_I","2020"
"34UFD","B05",0.05,"False",-1.4740109949787,1.56839754885004,-35.0355513098774,40.9687317593729,0.958193933319163,1.65164978853028,"34UFD_B05_05_I","2020"
"35VML","B05",0.05,"False",-1.29342766912738,1.3832099488854,-41.367935126267,44.9895014307436,0.836556531748921,1.10994256311896,"35VML_B05_05_I","2020"
"49NHC","B05",0.05,"False",-0.733781219040944,3.01391588263839,-1.44990717594549,7.86616356296116,0.8580516295849,4.22865064219969,"49NHC_B05_05_I","2020"
"49UCP","B05",0.05,"False",-0.399204282559044,1.0160080054656,-2.72685501337202,30.7227732801192,0.936372090303447,1.61897829503162,"49UCP_B05_05_I","2020"
"55HEV","B05",0.05,"False",1.75604834724264,3.12272954222677,44.464377565037,63.075135304175,0.87166360443609,3.71634255005838,"55HEV_B05_05_I","2020"
"10TES","B8A",0.05,"False",-2.23432756157938,2.54414956462215,-6.79633482447864,17.8358800115734,0.968765476406032,2.04877781065756,"10TES_B8A_05_I","2020"
"17SNB","B8A",0.05,"False",-1.12222381247567,2.44716396597625,-5.58865264551717,12.4894215805636,0.874068411519639,3.12964290268457,"17SNB_B8A_05_I","2020"
"20MMD","B8A",0.05,"False",0.392906859933685,1.21156024370959,0.959246305442431,3.89093206943496,0.93884248200624,1.58293218352645,"20MMD_B8A_05_I","2020"
"32TMT","B8A",0.05,"False",0.0711639616866184,0.61120219609506,1.02197543687808,5.69516705387359,0.994658646784664,1.04103455515338,"32TMT_B8A_05_I","2020"
"32UQU","B8A",0.05,"False",0.249344529106984,1.05572249999775,21.2062321196026,30.4100358492,0.978546079100094,1.64776875299532,"32UQU_B8A_05_I","2020"
"33NTG","B8A",0.05,"False",-1.59739472610938,3.25855658885292,19.1597604704355,39.9745659527771,0.977044795499223,3.72405146159176,"33NTG_B8A_05_I","2020"
"34UFD","B8A",0.05,"False",0.726905964812277,1.34200700849872,31.306492331663,41.4709326524163,0.931447274716504,1.70506749859693,"34UFD_B8A_05_I","2020"
"35VML","B8A",0.05,"False",0.823132600835349,0.926591124096089,19.4172327085694,22.6844144886496,0.913651426260201,0.875152043966893,"35VML_B8A_05_I","2020"
"49NHC","B8A",0.05,"False",-4.2020005116355,4.82100062906076,-9.67190734203261,11.9463225000493,0.911432059016949,3.4161662845505,"49NHC_B8A_05_I","2020"
"49UCP","B8A",0.05,"False",-0.24512269174455,1.51078742457213,14.6400484286387,45.4920495075818,0.874478678362152,2.245127597855,"49UCP_B8A_05_I","2020"
"55HEV","B8A",0.05,"False",2.13572472865766,3.50175936684676,55.6492046307499,65.5603615824731,0.880229438993787,3.76095330504447,"55HEV_B8A_05_I","2020"
"10TES","B11",0.05,"False",-0.852473869318322,1.27885400424922,-1.63329364279091,9.44077908170505,0.985142266340349,1.41588803816227,"10TES_B11_05_I","2020"
