"tile","band","increment","decrease","mean_height","average_difference","avg_abs_diff","avg_difference_percent","avg_abs_diff_perc","correlation","std_dev","out_name","year","abs_increment","Location","original"
"49UCP","ALL",0,"True",2.31524411615708,0,0,0,0,1,0,"49UCP_original",2020,0,"Mongolia",TRUE
"35VML","ALL",0,"True",2.87060872203778,0,0,0,0,1,0,"35VML_original",2020,0,"Finland",TRUE
"33NTG","ALL",0,"True",22.916080429947,0,0,0,0,1,0,"33NTG_original",2020,0,"Cameroon",TRUE
"32UQU","ALL",0,"True",8.63165830814115,0,0,0,0,1,0,"32UQU_original",2020,0,"Germany",TRUE
"20MMD","ALL",0,"True",28.9490034735493,0,0,0,0,1,0,"20MMD_original",2020,0,"Brazil",TRUE
"20MMD","ALL",5,"False",32.5937214166427,3.6447179430934,3.65471717800911,12.3896940009276,12.4522277057564,0.909622935047286,1.75413262676368,"20MMD_B02-B03-B04-B05-B08-B8A-B11-B12_05_I",2020,5,"Brazil",FALSE
"32UQU","ALL",5,"False",9.54744611162818,0.915787803487037,1.37444093969536,2.16752013254043,24.1139882990837,0.978913258063359,1.84151246230588,"32UQU_B02-B03-B04-B05-B08-B8A-B11-B12_05_I",2020,5,"Germany",FALSE
"33NTG","ALL",5,"False",22.5414904182881,-0.374590011658894,1.83544401692046,20.9203014302427,29.1387863791302,0.993739410237144,2.21956591849963,"33NTG_B02-B03-B04-B05-B08-B8A-B11-B12_05_I",2020,5,"Cameroon",FALSE
"35VML","ALL",5,"False",2.86744094052036,-0.00316778151741775,0.328803397718936,-0.693950487324818,15.748497126344,0.949403699619292,0.597822476616443,"35VML_B02-B03-B04-B05-B08-B8A-B11-B12_05_I",2020,5,"Finland",FALSE
"49UCP","ALL",5,"False",5.50003327603693,3.18478915987985,3.33494899083176,97.1920716490074,103.13501103241,0.693135601982871,4.13883666148389,"49UCP_B02-B03-B04-B05-B08-B8A-B11-B12_05_I",2020,5,"Mongolia",FALSE
"20MMD","Low",5,"False",30.4440569036022,1.49505343005288,1.67661931589463,4.97195691245514,5.76503440009685,0.967012038555848,1.17843925508804,"20MMD_B04-B11-B12_05_I",2020,5,"Brazil",FALSE
"32UQU","Low",5,"False",9.29878399993578,0.667125691794631,1.03388186416573,4.53479298219929,14.9350397218463,0.986769667771824,1.57651437082199,"32UQU_B04-B11-B12_05_I",2020,5,"Germany",FALSE
"33NTG","Low",5,"False",23.0946951977396,0.178614767792585,1.31816997924469,10.6426162328319,19.8524783896298,0.993668861743067,1.84359126103538,"33NTG_B04-B11-B12_05_I",2020,5,"Cameroon",FALSE
"35VML","Low",5,"False",2.74452359082332,-0.126085131214465,0.232526532924522,-4.5872756447794,11.9602006916671,0.967151498533583,0.478448468691274,"35VML_B04-B11-B12_05_I",2020,5,"Finland",FALSE
"49UCP","Low",5,"False",3.10946783001831,0.794223713861224,1.16393239489562,39.0112122535397,48.0404271548414,0.893219551516209,1.83787548755898,"49UCP_B04-B11-B12_05_I",2020,5,"Mongolia",FALSE
"20MMD","High",5,"False",33.3007046026237,4.35170112907439,4.39508187485321,14.0218246875727,14.3362307710258,0.936835628346035,1.60009755696054,"20MMD_B02-B05-B08-B8A_05_I",2020,5,"Brazil",FALSE
"32UQU","High",5,"False",8.56382331642459,-0.0678349917165614,0.644809932126254,1.15657185502978,17.3683083154549,0.991069846590738,0.978577124117144,"32UQU_B02-B05-B08-B8A_05_I",2020,5,"Germany",FALSE
"33NTG","High",5,"False",24.2713429838545,1.35526255390752,1.57341300845316,15.5231741413032,17.9770214093687,0.995081952882917,1.63206654052262,"33NTG_B02-B05-B08-B8A_05_I",2020,5,"Cameroon",FALSE
"35VML","High",5,"False",5.20705755694919,2.33644883491141,2.52150696749472,63.022671541155,71.2741311497147,0.588741463303661,1.95191489338225,"35VML_B02-B05-B08-B8A_05_I",2020,5,"Finland",FALSE
"49UCP","High",5,"False",4.80247734297524,2.48723322681815,2.58764842880794,102.823784513366,104.978479152683,0.820214542796802,3.00116811054283,"49UCP_B02-B05-B08-B8A_05_I",2020,5,"Mongolia",FALSE
"20MMD","Blue",5,"False",33.3007046026237,4.35170112907439,4.39508187485321,14.0218246875727,14.3362307710258,0.936835628346035,1.60009755696054,"20MMD_B02_05_I",2020,5,"Brazil",FALSE
"32UQU","Blue",5,"False",9.97182035716883,1.34016204902769,1.81299564731064,9.19625076597928,28.6892891234477,0.967791776844019,2.16291774663304,"32UQU_B02_05_I",2020,5,"Germany",FALSE
"33NTG","Blue",5,"False",22.5648829630202,-0.3511974669268,1.42681575988356,14.3848028988903,20.8437250729965,0.995373471785044,1.81302904293144,"33NTG_B02_05_I",2020,5,"Cameroon",FALSE
"35VML","Blue",5,"False",5.57537188406499,2.70476316202721,2.75304585894752,69.9927069185308,72.4681859781748,0.725786609370058,1.95168327594891,"35VML_B02_05_I",2020,5,"Finland",FALSE
"49UCP","Blue",5,"False",3.14083888344687,0.82559476728979,0.953097652438971,34.8458418945993,38.6153180042682,0.950006216084558,1.38591449685575,"49UCP_B02_05_I",2020,5,"Mongolia",FALSE
"20MMD","RGB",5,"False",33.3007046026237,4.35170112907439,4.39508187485321,14.0218246875727,14.3362307710258,0.936835628346035,1.60009755696054,"20MMD_B02-B03-B04_05_I",2020,5,"Brazil",FALSE
"32UQU","RGB",5,"False",8.55527137283903,-0.0763869353021197,0.928956867018683,2.53555695235016,20.6625499851857,0.979729045597005,1.46762096346109,"32UQU_B02-B03-B04_05_I",2020,5,"Germany",FALSE
"33NTG","RGB",5,"False",23.5134854466396,0.597405016692654,2.29408534176621,26.8619484870833,32.1129034039278,0.987863420471204,2.86662396660278,"33NTG_B02-B03-B04_05_I",2020,5,"Cameroon",FALSE
"35VML","RGB",5,"False",3.07985217962732,0.209243457589545,0.421252296505445,1.79332418707092,16.9702599888599,0.953876453205551,0.690677500396836,"35VML_B02-B03-B04_05_I",2020,5,"Finland",FALSE
"49UCP","RGB",5,"False",6.5245774182272,4.20933330207012,4.29078120456727,125.031654123039,127.304673756795,0.68351503242649,4.39661597981357,"49UCP_B02-B03-B04_05_I",2020,5,"Mongolia",FALSE
"20MMD","ALL",-5,"True",31.5522570403173,2.60325356676794,2.61045611024815,9.27901548986032,9.30747737557883,0.942602194321727,1.50329107844417,"20MMD_B02-B03-B04-B05-B08-B8A-B11-B12_05_D",2020,5,"Brazil",FALSE
"32UQU","ALL",-5,"True",9.47628861812839,0.844630309987248,1.01400351469147,14.8728705020363,21.2071536079436,0.98949977359034,1.12584295954476,"32UQU_B02-B03-B04-B05-B08-B8A-B11-B12_05_D",2020,5,"Germany",FALSE
"33NTG","ALL",-5,"True",23.1891997396401,0.273119309693135,1.76385400535491,23.8138508074749,28.8214350883894,0.993345379914487,2.20983861749843,"33NTG_B02-B03-B04-B05-B08-B8A-B11-B12_05_D",2020,5,"Cameroon",FALSE
"35VML","ALL",-5,"True",4.67035467703929,1.79974595500151,1.91651581629517,56.9572540739483,61.5826977482344,0.750002790375219,1.57354998331123,"35VML_B02-B03-B04-B05-B08-B8A-B11-B12_05_D",2020,5,"Finland",FALSE
"49UCP","ALL",-5,"True",5.1754512979911,2.86020718183402,3.11023759655568,99.7774461622885,106.014926267253,0.709225864233764,3.76534910918893,"49UCP_B02-B03-B04-B05-B08-B8A-B11-B12_05_D",2020,5,"Mongolia",FALSE
"20MMD","Low",-5,"True",30.8579714531884,1.90896797963909,2.01994843931973,6.66675902204737,7.13571649749877,0.927243220862262,1.58016784187917,"20MMD_B04-B11-B12_05_D",2020,5,"Brazil",FALSE
"32UQU","Low",-5,"True",9.04108905089213,0.409430742750979,1.05253774122024,-0.662659363160987,16.8887677431128,0.983921387312878,1.64374856862047,"32UQU_B04-B11-B12_05_D",2020,5,"Germany",FALSE
"33NTG","Low",-5,"True",23.1240051002346,0.207924670287645,1.38404282761873,19.8376008715821,25.0202784659766,0.994480022184151,1.85270569611206,"33NTG_B04-B11-B12_05_D",2020,5,"Cameroon",FALSE
