"tile","band","increment","decrease","shuffle_percentage","shuffle_tile_size","mean_height","average_difference","avg_abs_diff","avg_difference_percent","avg_abs_diff_perc","correlation","std_dev","out_name","year"
"55HEV","",NA,NA,0,NA,10.5658036450461,0,0,0,0,1,0,"55HEV_original","2020"
"49UCP","",NA,NA,0,NA,2.29978889103673,0,0,0,0,1,0,"49UCP_original","2020"
"49NHC","",NA,NA,0,NA,39.5552129659481,0,0,0,0,1,0,"49NHC_original","2020"
"35VML","",NA,NA,0,NA,5.31661301777702,0,0,0,0,1,0,"35VML_original","2020"
"34UFD","",NA,NA,0,NA,4.19140463677764,0,0,0,0,1,0,"34UFD_original","2020"
"33NTG","",NA,NA,0,NA,19.5995220721644,0,0,0,0,1,0,"33NTG_original","2020"
"32UQU","",NA,NA,0,NA,8.49325752182521,0,0,0,0,1,0,"32UQU_original","2020"
"32TMT","",NA,NA,0,NA,16.5568867291421,0,0,0,0,1,0,"32TMT_original","2020"
"20MMD","",NA,NA,0,NA,31.2008458931892,0,0,0,0,1,0,"20MMD_original","2020"
"17SNB","",NA,NA,0,NA,16.0800281656254,0,0,0,0,1,0,"17SNB_original","2020"
"10TES","",NA,NA,0,NA,20.2938184710138,0,0,0,0,1,0,"10TES_original","2020"
"10TES","",NA,NA,2.5,NA,20.3261260467465,0.0323075757326297,1.28153224580649,6.36944852962433,12.3087588938269,0.977998023598428,1.7710863373514,"10TES_shuffle 2.5_local-NA","2020"
"17SNB","",NA,NA,2.5,NA,19.0453258370467,2.9652976714213,3.36828530836605,19.951655176422,22.4396836425525,0.871906914545706,2.92980780518292,"17SNB_shuffle 2.5_local-NA","2020"
"20MMD","",NA,NA,2.5,NA,32.0274445318059,0.826598638616688,1.20458431337186,3.02927733494625,4.26832644145479,0.948424981870789,1.38753498579976,"20MMD_shuffle 2.5_local-NA","2020"
"32TMT","",NA,NA,2.5,NA,17.3884052591166,0.831518529974506,1.43438888534142,14.3407472469897,17.2822117001658,0.989237828588587,1.67934522930894,"32TMT_shuffle 2.5_local-NA","2020"
"32UQU","",NA,NA,2.5,NA,9.84259264257366,1.34933512074844,1.64745998195007,31.134341066365,36.8850775553912,0.973948315971122,1.65110299413592,"32UQU_shuffle 2.5_local-NA","2020"
"33NTG","",NA,NA,2.5,NA,22.1318428577336,2.53232078556927,2.94696283152283,9.97743007071908,20.9641759676751,0.988255030324207,2.65415450542188,"33NTG_shuffle 2.5_local-NA","2020"
"34UFD","",NA,NA,2.5,NA,6.00489826519764,1.81349362841999,1.90541519660308,62.0659140543435,65.2815467340853,0.938082069772973,1.55210262046406,"34UFD_shuffle 2.5_local-NA","2020"
"35VML","",NA,NA,2.5,NA,4.67487384043414,-0.641739177342884,1.38147006436711,-12.0983430922424,32.401221625512,0.761796973246875,1.6332862289388,"35VML_shuffle 2.5_local-NA","2020"
"49NHC","",NA,NA,2.5,NA,38.7640742338688,-0.791138732079293,1.83068978722444,-1.84223496221075,5.1529114010172,0.920736562363737,2.42856812785418,"49NHC_shuffle 2.5_local-NA","2020"
"49UCP","",NA,NA,2.5,NA,3.75725947686114,1.4574705858244,1.73373914112151,88.4555266445753,91.4171178523777,0.870346377263863,1.8714799973716,"49UCP_shuffle 2.5_local-NA","2020"
"55HEV","",NA,NA,2.5,NA,9.22374330506671,-1.34206033997935,2.79523368935861,-30.4631998099291,44.9304666333017,0.897261134436959,3.38765124977279,"55HEV_shuffle 2.5_local-NA","2020"
"10TES","",NA,NA,5,NA,21.6932405558142,1.39942208480036,1.61505229512775,13.8519515116397,15.3104529438239,0.974244363995972,1.8789956952395,"10TES_shuffle 5.0_local-NA","2020"
"17SNB","",NA,NA,5,NA,22.6029566118547,6.52292844622928,6.62267536951438,37.6320113784123,38.3217787816564,0.778581689613247,3.80891030701828,"17SNB_shuffle 5.0_local-NA","2020"
"20MMD","",NA,NA,5,NA,32.4684561582534,1.2676102650642,1.73064052556457,3.77888917354458,5.65065830796942,0.940075219063261,1.69382787404123,"20MMD_shuffle 5.0_local-NA","2020"
"32TMT","",NA,NA,5,NA,17.6206446240156,1.06375789487352,2.29026937328903,19.4146896920586,24.4915744104276,0.97853024770671,2.64000546132297,"32TMT_shuffle 5.0_local-NA","2020"
"32UQU","",NA,NA,5,NA,9.48343879760693,0.990181275781722,1.72926316808602,31.6600633814517,40.6567052850002,0.959024323737245,2.03136856953837,"32UQU_shuffle 5.0_local-NA","2020"
"33NTG","",NA,NA,5,NA,21.84212160487,2.24259953270564,2.64547461868472,11.0494214645159,21.8631620683412,0.984197152104694,2.54296420160854,"33NTG_shuffle 5.0_local-NA","2020"
"34UFD","",NA,NA,5,NA,5.3414280752959,1.15002343851825,1.61720430403123,57.9730756516701,64.0957504158604,0.91218307356907,1.74010907876831,"34UFD_shuffle 5.0_local-NA","2020"
"35VML","",NA,NA,5,NA,5.03806083145427,-0.278552186322745,1.52536066662452,-2.43590254117793,34.1426895928782,0.65397095003047,1.93299283377855,"35VML_shuffle 5.0_local-NA","2020"
"49NHC","",NA,NA,5,NA,40.3514698704452,0.796256904497086,3.37249445443773,1.25842561634441,8.97179967932245,0.842807863345825,4.20399482584856,"49NHC_shuffle 5.0_local-NA","2020"
