mode,tile,out_name,year,original,mean_height,mean_change,mean_abs_change,relative_mean_change,relative_mean_abs_change,mae,rmse,correlation,SD,sd_change,relative_sd_change,wasserstein,q05_shift,q25_shift,q50_shift,q75_shift,q95_shift,shuffle_percentage,patch_size
shuffle,33NTG,33NTG_original,2020,TRUE,22.2799924246849,0,0,0,0,0,0,1,15.7313218067174,0,0,0,0,0,0,0,0,0,1
shuffle,33NTG,33NTG_original,2020,TRUE,22.2799924246849,0,0,0,0,0,0,1,15.7313218067174,0,0,0,0,0,0,0,0,0,2
shuffle,33NTG,33NTG_original,2020,TRUE,22.2799924246849,0,0,0,0,0,0,1,15.7313218067174,0,0,0,0,0,0,0,0,0,4
shuffle,33NTG,33NTG_original,2020,TRUE,22.2799924246849,0,0,0,0,0,0,1,15.7313218067174,0,0,0,0,0,0,0,0,0,8
shuffle,33NTG,33NTG_original,2020,TRUE,22.2799924246849,0,0,0,0,0,0,1,15.7313218067174,0,0,0,0,0,0,0,0,0,16
shuffle,33NTG,33NTG_original,2020,TRUE,22.2799924246849,0,0,0,0,0,0,1,15.7313218067174,0,0,0,0,0,0,0,0,0,32
shuffle,33NTG,33NTG_original,2020,TRUE,22.2799924246849,0,0,0,0,0,0,1,15.7313218067174,0,0,0,0,0,0,0,0,0,64
shuffle,33NTG,33NTG_original,2020,TRUE,22.2799924246849,0,0,0,0,0,0,1,15.7313218067174,0,0,0,0,0,0,0,0,0,128
shuffle,33NTG,33NTG_original,2020,TRUE,22.2799924246849,0,0,0,0,0,0,1,15.7313218067174,0,0,0,0,0,0,0,0,0,256
shuffle,32UQU,32UQU_original,2020,TRUE,9.43242963783114,0,0,0,0,0,0,1,8.55074166711972,0,0,0,0,0,0,0,0,0,1
shuffle,32UQU,32UQU_original,2020,TRUE,9.43242963783114,0,0,0,0,0,0,1,8.55074166711972,0,0,0,0,0,0,0,0,0,2
shuffle,32UQU,32UQU_original,2020,TRUE,9.43242963783114,0,0,0,0,0,0,1,8.55074166711972,0,0,0,0,0,0,0,0,0,4
shuffle,32UQU,32UQU_original,2020,TRUE,9.43242963783114,0,0,0,0,0,0,1,8.55074166711972,0,0,0,0,0,0,0,0,0,8
shuffle,32UQU,32UQU_original,2020,TRUE,9.43242963783114,0,0,0,0,0,0,1,8.55074166711972,0,0,0,0,0,0,0,0,0,16
shuffle,32UQU,32UQU_original,2020,TRUE,9.43242963783114,0,0,0,0,0,0,1,8.55074166711972,0,0,0,0,0,0,0,0,0,32
shuffle,32UQU,32UQU_original,2020,TRUE,9.43242963783114,0,0,0,0,0,0,1,8.55074166711972,0,0,0,0,0,0,0,0,0,64
shuffle,32UQU,32UQU_original,2020,TRUE,9.43242963783114,0,0,0,0,0,0,1,8.55074166711972,0,0,0,0,0,0,0,0,0,128
shuffle,32UQU,32UQU_original,2020,TRUE,9.43242963783114,0,0,0,0,0,0,1,8.55074166711972,0,0,0,0,0,0,0,0,0,256
shuffle,32TMT,32TMT_original,2020,TRUE,15.9918825074558,0,0,0,0,0,0,1,9.76509679218125,0,0,0,0,0,0,0,0,0,1
shuffle,32TMT,32TMT_original,2020,TRUE,15.9918825074558,0,0,0,0,0,0,1,9.76509679218125,0,0,0,0,0,0,0,0,0,2
shuffle,32TMT,32TMT_original,2020,TRUE,15.9918825074558,0,0,0,0,0,0,1,9.76509679218125,0,0,0,0,0,0,0,0,0,4
shuffle,32TMT,32TMT_original,2020,TRUE,15.9918825074558,0,0,0,0,0,0,1,9.76509679218125,0,0,0,0,0,0,0,0,0,8
shuffle,32TMT,32TMT_original,2020,TRUE,15.9918825074558,0,0,0,0,0,0,1,9.76509679218125,0,0,0,0,0,0,0,0,0,16
shuffle,32TMT,32TMT_original,2020,TRUE,15.9918825074558,0,0,0,0,0,0,1,9.76509679218125,0,0,0,0,0,0,0,0,0,32
shuffle,32TMT,32TMT_original,2020,TRUE,15.9918825074558,0,0,0,0,0,0,1,9.76509679218125,0,0,0,0,0,0,0,0,0,64
shuffle,32TMT,32TMT_original,2020,TRUE,15.9918825074558,0,0,0,0,0,0,1,9.76509679218125,0,0,0,0,0,0,0,0,0,128
shuffle,32TMT,32TMT_original,2020,TRUE,15.9918825074558,0,0,0,0,0,0,1,9.76509679218125,0,0,0,0,0,0,0,0,0,256
shuffle,32TMT,32TMT_shuffle_2.5_  1x  1_ST512,2020,FALSE,16.3443096346761,0.352427127220299,1.16096459172905,2.20378762197627,7.25971186436485,1.16096459172905,1.51465965763759,0.993106733475543,8.77048833732341,-0.994608454857842,-10.1853414873902,1.00329649933549,1,2,1,-1,-1,2.5,1
shuffle,32UQU,32UQU_shuffle_2.5_  1x  1_ST512,2020,FALSE,9.84178543205473,0.409355794223593,1.17875801639553,4.33987646811346,12.4968651943909,1.17875801639553,1.61446911026016,0.986075618232918,7.78596346093444,-0.764778206185278,-8.94399849695015,0.910148220920538,1,1,1,0,-2,2.5,1
shuffle,33NTG,33NTG_shuffle_2.5_  1x  1_ST512,2020,FALSE,21.6379472433925,-0.642045181292477,1.20528290815381,-2.8817118473574,5.40970968562102,1.20528290815381,1.85518731625879,0.994283538567818,15.1850739898582,-0.546247816859145,-3.4723580355841,0.917816301037061,1,1,-2,-1,0,2.5,1
shuffle,32TMT,32TMT_shuffle_5.0_  1x  1_ST512,2020,FALSE,16.5932049348996,0.601322427443826,2.06822401564096,3.76017286997623,12.9329615489403,2.06822401564096,2.56657603927871,0.981912035268122,7.91296909671318,-1.85212769546807,-18.9668134877171,1.84973548427406,2,3,1,-2,-2,5,1
shuffle,32UQU,32UQU_shuffle_5.0_  1x  1_ST512,2020,FALSE,10.2216112383206,0.789181600489469,2.08337718306617,8.36668420323282,22.0873864217366,2.08337718306617,2.66457396337811,0.963005328873031,7.15391526732603,-1.3968263997937,-16.3357338365739,1.69526159735024,1,1,2,0,-3,5,1
shuffle,33NTG,33NTG_shuffle_5.0_  1x  1_ST512,2020,FALSE,21.0341974675293,-1.2457949571556,2.13573162243324,-5.59154120616008,9.58587230068792,2.13573162243324,3.07730686150929,0.985182495532858,14.6993242422341,-1.03199756448329,-6.56014527681088,1.74913884722347,1,1,-4,-2,-1,5,1
shuffle,32TMT,32TMT_shuffle_10.0_  1x  1_ST512,2020,FALSE,16.8358213950116,0.843938887555872,3.38921553473833,5.27729544762732,21.1933493955962,3.38921553473833,4.09534826976673,0.950714093884936,6.65860028145096,-3.10649651073028,-31.812244945873,3.0774147165126,4,4,2,-3,-3,10,1
shuffle,32UQU,32UQU_shuffle_10.0_  1x  1_ST512,2020,FALSE,10.7075051538358,1.27507551600469,3.3438620702804,13.5179965816091,35.4506972081615,3.3438620702804,4.13659733355266,0.902252661960367,6.33994829347795,-2.21079337364177,-25.8549896571308,2.7236753245712,2,2,4,-1,-4,10,1
shuffle,33NTG,33NTG_shuffle_10.0_  1x  1_ST512,2020,FALSE,19.9866304565973,-2.29336196808763,3.6577006683469,-10.2933696043214,16.4169744703072,3.6577006683469,5.04219601437346,0.961704983414815,13.8746673064603,-1.85665450025707,-11.8022790650959,3.16180299796763,1,2,-7,-3,-2,10,1
shuffle,32TMT,32TMT_shuffle_15.0_  1x  1_ST512,2020,FALSE,16.9060448731369,0.914162365681097,4.27089288264779,5.71641497025066,26.7066299458904,4.27089288264779,5.09882383012026,0.915141623149773,5.82754430408512,-3.93755248809613,-40.3227184726819,3.88638258491674,6,5,2,-4,-4,15,1
shuffle,32UQU,32UQU_shuffle_15.0_  1x  1_ST512,2020,FALSE,10.8953908091652,1.46296117133406,4.09524504535216,15.5099081308435,43.4166508799297,4.09524504535216,5.02070576533819,0.841181952823791,5.89372732016753,-2.6570143469522,-31.0734957315954,3.22028110957311,3,3,4,-1,-4,15,1
shuffle,33NTG,33NTG_shuffle_15.0_  1x  1_ST512,2020,FALSE,19.171300868314,-3.1086915563709,4.81831592439699,-13.9528393776591,21.6262009095595,4.81831592439699,6.46117355001734,0.938186804826208,13.1987930811033,-2.53252872561407,-16.0986391145636,4.26899196635803,2,2,-10,-4,-2,15,1
