"mode","run","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","wasserstein","q05_shift","q25_shift","q50_shift","q75_shift","q95_shift","shuffle_percentage","patch_size","time_min"
"shuffle","2026-06-04_shuffle_2","49NHC","49NHC_original","2020",TRUE,40.1037015821913,0,0,0,0,0,0,1,6.46511024994368,0,0,0,0,0,0,0,0,0,1,7.47191838423411
"shuffle","2026-06-04_shuffle_2","49NHC","49NHC_original","2020",TRUE,40.1037015821913,0,0,0,0,0,0,1,6.46511024994368,0,0,0,0,0,0,0,0,0,2,6.63354019721349
"shuffle","2026-06-04_shuffle_2","49NHC","49NHC_original","2020",TRUE,40.1037015821913,0,0,0,0,0,0,1,6.46511024994368,0,0,0,0,0,0,0,0,0,4,10.4817483305931
"shuffle","2026-06-04_shuffle_2","49NHC","49NHC_original","2020",TRUE,40.1037015821913,0,0,0,0,0,0,1,6.46511024994368,0,0,0,0,0,0,0,0,0,8,11.6190506537755
"shuffle","2026-06-04_shuffle_2","49NHC","49NHC_original","2020",TRUE,40.1037015821913,0,0,0,0,0,0,1,6.46511024994368,0,0,0,0,0,0,0,0,0,16,11.2784146110217
"shuffle","2026-06-04_shuffle_2","49NHC","49NHC_original","2020",TRUE,40.1037015821913,0,0,0,0,0,0,1,6.46511024994368,0,0,0,0,0,0,0,0,0,32,12.2903379360835
"shuffle","2026-06-04_shuffle_2","49NHC","49NHC_original","2020",TRUE,40.1037015821913,0,0,0,0,0,0,1,6.46511024994368,0,0,0,0,0,0,0,0,0,64,12.0332870642344
"shuffle","2026-06-04_shuffle_2","35VML","35VML_original","2020",TRUE,5.57108621740201,0,0,0,0,0,0,1,2.31018364436467,0,0,0,0,0,0,0,0,0,1,13.9467674771945
"shuffle","2026-06-04_shuffle_2","35VML","35VML_original","2020",TRUE,2.67966823635012,0,0,0,0,0,0,1,1.84453853359372,0,0,0,0,0,0,0,0,0,2,16.278161974748
"shuffle","2026-06-04_shuffle_2","35VML","35VML_original","2020",TRUE,2.67966823635012,0,0,0,0,0,0,1,1.84453853359372,0,0,0,0,0,0,0,0,0,4,15.7615447282791
"shuffle","2026-06-04_shuffle_2","35VML","35VML_original","2020",TRUE,2.67966823635012,0,0,0,0,0,0,1,1.84453853359372,0,0,0,0,0,0,0,0,0,8,13.6895896673203
"shuffle","2026-06-04_shuffle_2","35VML","35VML_original","2020",TRUE,3.68100245610456,0,0,0,0,0,0,1,1.61728283092393,0,0,0,0,0,0,0,0,0,16,14.8583058516184
"shuffle","2026-06-04_shuffle_2","35VML","35VML_original","2020",TRUE,2.67966823635012,0,0,0,0,0,0,1,1.84453853359372,0,0,0,0,0,0,0,0,0,32,15.5368422865868
"shuffle","2026-06-04_shuffle_2","35VML","35VML_original","2020",TRUE,2.25745454195719,0,0,0,0,0,0,1,1.62644233418181,0,0,0,0,0,0,0,0,0,64,12.2762921015422
"shuffle","2026-06-04_shuffle_2","33NTG","33NTG_original","2020",TRUE,22.2799924246849,0,0,0,0,0,0,1,15.7313218067174,0,0,0,0,0,0,0,0,0,1,15.2495298624039
"shuffle","2026-06-04_shuffle_2","33NTG","33NTG_original","2020",TRUE,24.7788288908614,0,0,0,0,0,0,1,16.2776480782471,0,0,0,0,0,0,0,0,0,2,13.8653201341629
"shuffle","2026-06-04_shuffle_2","33NTG","33NTG_original","2020",TRUE,22.2799924246849,0,0,0,0,0,0,1,15.7313218067174,0,0,0,0,0,0,0,0,0,4,14.3635363181432
"shuffle","2026-06-04_shuffle_2","33NTG","33NTG_original","2020",TRUE,24.139778987556,0,0,0,0,0,0,1,15.5816084361051,0,0,0,0,0,0,0,0,0,8,11.3892569462458
"shuffle","2026-06-04_shuffle_2","33NTG","33NTG_original","2020",TRUE,22.2799924246849,0,0,0,0,0,0,1,15.7313218067174,0,0,0,0,0,0,0,0,0,16,15.7060172080994
"shuffle","2026-06-04_shuffle_2","33NTG","33NTG_original","2020",TRUE,22.556202351581,0,0,0,0,0,0,1,15.9129476243339,0,0,0,0,0,0,0,0,0,32,15.5377592802048
"shuffle","2026-06-04_shuffle_2","33NTG","33NTG_original","2020",TRUE,24.139778987556,0,0,0,0,0,0,1,15.5816084361051,0,0,0,0,0,0,0,0,0,64,14.6017481207848
"shuffle","2026-06-04_shuffle_2","32TMT","32TMT_original","2020",TRUE,16.1146002133343,0,0,0,0,0,0,1,10.2335583330718,0,0,0,0,0,0,0,0,0,1,38.1171917676926
"shuffle","2026-06-04_shuffle_2","32TMT","32TMT_original","2020",TRUE,16.0316041429938,0,0,0,0,0,0,1,9.8228788388628,0,0,0,0,0,0,0,0,0,2,37.675682425499
"shuffle","2026-06-04_shuffle_2","32TMT","32TMT_original","2020",TRUE,14.4371310871389,0,0,0,0,0,0,1,8.94616824916764,0,0,0,0,0,0,0,0,0,4,31.0831958731016
"shuffle","2026-06-04_shuffle_2","32TMT","32TMT_original","2020",TRUE,16.0250488030573,0,0,0,0,0,0,1,9.81249587769696,0,0,0,0,0,0,0,0,0,8,32.4544432441394
"shuffle","2026-06-04_shuffle_2","32TMT","32TMT_original","2020",TRUE,16.0132315759012,0,0,0,0,0,0,1,9.72377908032051,0,0,0,0,0,0,0,0,0,16,33.0697389682134
"shuffle","2026-06-04_shuffle_2","32TMT","32TMT_original","2020",TRUE,15.9089915324519,0,0,0,0,0,0,1,9.6947647919922,0,0,0,0,0,0,0,0,0,32,31.6302017887433
"shuffle","2026-06-04_shuffle_2","32TMT","32TMT_original","2020",TRUE,15.9666386110252,0,0,0,0,0,0,1,9.80332326375616,0,0,0,0,0,0,0,0,0,64,26.5001672943433
"shuffle","2026-06-04_shuffle_2","32TMT","32TMT_shuffle_2.5_ 1x 1_local","2020",FALSE,16.1543610988728,0.187722487847646,0.801468483382102,1.17571702110187,5.01964441550444,0.801468483382102,1.04937151151523,0.996553600487086,9.13341691188011,-0.669906351876049,-6.83346181547188,0.709767587587688,0,1,1,-1,-2,2.5,1,61.5754145423571
