"","X","mode","run","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","band","increment","decrease","colour","time_min","location","abs_increment","model_ID","Location"
"1",1,"spectral","2026-06-18_spectral_g20","49NHC","49NHC_original",2020,TRUE,40.1037015821913,0,0,0,0,0,0,1,6.46511024994368,0,0,"B02",0,"False","Blue",9.71741232077281,"Malaysia",0,2,NA
"2",2,"spectral","2026-06-18_spectral_g20","35VML","35VML_original",2020,TRUE,2.67966823635012,0,0,0,0,0,0,1,1.84453853359372,0,0,"B02",0,"False","Blue",8.68135975201925,"Finland",0,2,NA
"3",3,"spectral","2026-06-18_spectral_g20","33NTG","33NTG_original",2020,TRUE,22.2799924246849,0,0,0,0,0,0,1,15.7313218067174,0,0,"B02",0,"False","Blue",9.59277049303055,"Cameroon",0,2,NA
"4",4,"spectral","2026-06-18_spectral_g20","32TMT","32TMT_original",2020,TRUE,15.9918825074558,0,0,0,0,0,0,1,9.76509679218125,0,0,"B02",0,"False","Blue",25.4348676562309,"Switzerland",0,2,NA
"5",5,"spectral","2026-06-18_spectral_g20","32TMT","32TMT_spectral_B02_I_5",2020,FALSE,16.2679867581167,0.276104250660911,0.396516899818415,1.72652750876693,2.47948857574179,0.396516899818415,0.639117836590836,0.99842824980671,9.56886595209927,-0.196230840081981,-2.00951249391711,"B02",5,"False","Blue",25.7854855656624,"Switzerland",5,2,NA
"6",6,"spectral","2026-06-18_spectral_g20","33NTG","33NTG_spectral_B02_I_5",2020,FALSE,24.7238315377363,2.44383911305132,2.48850346393892,10.9687609693425,11.1692293987578,2.48850346393892,3.01916316874086,0.997898594040376,17.148781324945,1.41745951822763,9.01042859362499,"B02",5,"False","Blue",9.10078676939011,"Cameroon",5,2,NA
"7",7,"spectral","2026-06-18_spectral_g20","35VML","35VML_spectral_B02_I_5",2020,FALSE,3.06630176304618,0.386633526696062,0.452998462106156,14.4284102580804,16.9050204036889,0.452998462106156,0.806070275374113,0.957017221202822,2.22792902623258,0.383390492638862,20.7851712315222,"B02",5,"False","Blue",8.39757370154063,"Finland",5,2,NA
"8",8,"spectral","2026-06-18_spectral_g20","49NHC","49NHC_spectral_B02_I_5",2020,FALSE,40.8692569791014,0.765555396910031,0.918637712642685,1.90893949113662,2.29065566618574,0.918637712642685,1.305661521455,0.987524877715701,6.09754213037438,-0.3675681195693,-5.68541146800245,"B02",5,"False","Blue",7.33249445756276,"Malaysia",5,2,NA
"9",9,"spectral","2026-06-18_spectral_g20","32TMT","32TMT_spectral_B03_I_5",2020,FALSE,16.0052556036727,0.0133730962169167,0.235781063544783,0.083624277571336,1.4743796637754,0.235781063544783,0.503811042317845,0.998812005423779,9.58852973865511,-0.176567053526139,-1.80814442789254,"B03",5,"False","Green",23.5912066539129,"Switzerland",5,2,NA
"10",10,"spectral","2026-06-18_spectral_g20","33NTG","33NTG_spectral_B03_I_5",2020,FALSE,21.2505857430931,-1.02940668159184,1.9907186605773,-4.62031881326547,8.93500600283733,1.9907186605773,2.37368715039787,0.995975165851748,14.0597042571215,-1.67161754959591,-10.6260463687299,"B03",5,"False","Green",8.67461388905843,"Cameroon",5,2,NA
"11",11,"spectral","2026-06-18_spectral_g20","35VML","35VML_spectral_B03_I_5",2020,FALSE,3.52279523248748,0.84312699613736,0.887849885967503,31.4638575290855,33.132828680942,0.887849885967503,1.22127423451683,0.917243547395949,2.18262583848314,0.338087304889419,18.3290995949389,"B03",5,"False","Green",8.69889421860377,"Finland",5,2,NA
"12",12,"spectral","2026-06-18_spectral_g20","49NHC","49NHC_spectral_B03_I_5",2020,FALSE,38.8748564488303,-1.22884513336102,1.26758557737569,-3.06416885444487,3.1607695234262,1.26758557737569,1.50196096799513,0.991039843565117,6.41963651504497,-0.0454737348987155,-0.703371375594278,"B03",5,"False","Green",7.0888272245725,"Malaysia",5,2,NA
"13",13,"spectral","2026-06-18_spectral_g20","32TMT","32TMT_spectral_B04_I_5",2020,FALSE,16.1549569106968,0.16307440324103,0.38231623925391,1.0197323746282,2.39068939554593,0.38231623925391,0.623655256243308,0.998692839194072,10.0888160990961,0.323719306914834,3.31506500963749,"B04",5,"False","Red",24.0247883439064,"Switzerland",5,2,NA
"14",14,"spectral","2026-06-18_spectral_g20","33NTG","33NTG_spectral_B04_I_5",2020,FALSE,23.7612788615927,1.48128643690774,1.57958197150036,6.64850511917841,7.08968809949087,1.57958197150036,1.98801780118638,0.998004408444933,16.5781510571728,0.846829250455446,5.38307753703089,"B04",5,"False","Red",9.66992066701253,"Cameroon",5,2,NA
"15",15,"spectral","2026-06-18_spectral_g20","35VML","35VML_spectral_B04_I_5",2020,FALSE,2.66960742712452,-0.0100608092255912,0.19113797329723,-0.375449807148315,7.13289692747834,0.19113797329723,0.438812964636784,0.971833898636897,1.85169891768344,0.00716038408971986,0.388193792610517,"B04",5,"False","Red",8.50023925701777,"Finland",5,2,NA
"16",16,"spectral","2026-06-18_spectral_g20","49NHC","49NHC_spectral_B04_I_5",2020,FALSE,40.45553151246,0.351829930268714,0.709901990905726,0.877300389710035,1.77016575253235,0.709901990905726,1.03696473230318,0.988562283291369,6.3621776316827,-0.102932618260982,-1.5921247168504,"B04",5,"False","Red",6.88993819157283,"Malaysia",5,2,NA
"17",17,"spectral","2026-06-18_spectral_g20","32TMT","32TMT_spectral_B05_I_5",2020,FALSE,16.2109921434125,0.219109635956709,0.865577746706293,1.37013035116132,5.4126069667079,0.865577746706293,1.18088451987029,0.99683987946312,10.5972277946153,0.832131002434018,8.52148237895902,"B05",5,"False","RedEdge",26.651388223966,"Switzerland",5,2,NA
"18",18,"spectral","2026-06-18_spectral_g20","33NTG","33NTG_spectral_B05_I_5",2020,FALSE,22.4096730537504,0.12968062906549,0.539647185539709,0.582049699989177,2.422115659886,0.539647185539709,0.818561221127521,0.998732973690043,15.5485729533658,-0.182748853351548,-1.16168784541368,"B05",5,"False","RedEdge",11.0973330577215,"Cameroon",5,2,NA
"19",19,"spectral","2026-06-18_spectral_g20","35VML","35VML_spectral_B05_I_5",2020,FALSE,2.66709556744248,-0.0125726689076395,0.519190542690274,-0.469187518704343,19.3751799438219,0.519190542690274,0.777095885770678,0.926743731696953,1.35799517067699,-0.486543362916732,-26.3775114509968,"B05",5,"False","RedEdge",9.73131734927495,"Finland",5,2,NA
"20",20,"spectral","2026-06-18_spectral_g20","49NHC","49NHC_spectral_B05_I_5",2020,FALSE,40.4849557753572,0.381254193165852,0.610371253124414,0.950670831181213,1.52198233340999,0.610371253124414,0.863168505783446,0.993126337538141,6.58521322029087,0.12010297034719,1.8577095471533,"B05",5,"False","RedEdge",8.53319381475449,"Malaysia",5,2,NA
"21",21,"spectral","2026-06-18_spectral_g20","32TMT","32TMT_spectral_B08_I_5",2020,FALSE,16.2758498644916,0.283967357035845,0.541890458135226,1.77569686935514,3.38853451357328,0.541890458135226,0.836081958215718,0.996994021593449,9.95015945805472,0.18506266587347,1.89514420401493,"B08",5,"False","NIR",22.4149348497391,"Switzerland",5,2,NA
"22",22,"spectral","2026-06-18_spectral_g20","33NTG","33NTG_spectral_B08_I_5",2020,FALSE,20.4002113185666,-1.87978110611837,2.65762780397256,-8.43708144189351,11.9283155636447,2.65762780397256,3.15371980008072,0.996140489717244,13.5479202644336,-2.18340154228382,-13.8793266650454,"B08",5,"False","NIR",10.6847426533699,"Cameroon",5,2,NA
"23",23,"spectral","2026-06-18_spectral_g20","35VML","35VML_spectral_B08_I_5",2020,FALSE,2.9028518799377,0.223183643587589,0.628499823626865,8.32877893464825,23.4543894315411,0.628499823626865,0.94181865840976,0.907355547669841,2.15945158977038,0.314913056176664,17.072728514005,"B08",5,"False","NIR",9.57549106280009,"Finland",5,2,NA
"24",24,"spectral","2026-06-18_spectral_g20","49NHC","49NHC_spectral_B08_I_5",2020,FALSE,38.568075851137,-1.5356257310543,1.56579610762502,-3.82913713814441,3.90436804048118,1.56579610762502,1.77552800653891,0.990567212829686,6.3064753887685,-0.158634861175178,-2.45370697547749,"B08",5,"False","NIR",8.71148998339971,"Malaysia",5,2,NA
"25",25,"spectral","2026-06-18_spectral_g20","32TMT","32TMT_spectral_B8A_I_5",2020,FALSE,16.0610981168985,0.0692156094427041,0.243012660078571,0.432817145889074,1.51960008438827,0.243012660078571,0.501543739436022,0.998752410950856,9.65819986964611,-0.106896922535132,-1.09468369653768,"B8A",5,"False","NIR2",22.8340720971425,"Switzerland",5,2,NA
"26",26,"spectral","2026-06-18_spectral_g20","33NTG","33NTG_spectral_B8A_I_5",2020,FALSE,23.1546661081699,0.874673683484986,2.92251451714033,3.92582576695986,13.1172150395453,2.92251451714033,3.89249279473198,0.987507662719416,12.6639129467129,-3.06740886000453,-19.498735692348,"B8A",5,"False","NIR2",9.85182768503825,"Cameroon",5,2,NA
"27",27,"spectral","2026-06-18_spectral_g20","35VML","35VML_spectral_B8A_I_5",2020,FALSE,3.46349033579801,0.783822099447892,0.958607048266025,29.2507142792986,35.7733481802849,0.958607048266025,1.27433424580096,0.842283217760323,1.40879510638533,-0.435743427208386,-23.6234385605069,"B8A",5,"False","NIR2",9.92856344381968,"Finland",5,2,NA
"28",28,"spectral","2026-06-18_spectral_g20","49NHC","49NHC_spectral_B8A_I_5",2020,FALSE,39.9799213521114,-0.123780230079937,0.590503367853288,-0.308650386863301,1.4724410579484,0.590503367853288,0.881877363434629,0.991319920427462,6.60879616533837,0.143685915394686,2.22248205892448,"B8A",5,"False","NIR2",8.24551916519801,"Malaysia",5,2,NA
"29",29,"spectral","2026-06-18_spectral_g20","32TMT","32TMT_spectral_B11_I_5",2020,FALSE,16.0075256471666,0.0156431397108676,0.186793023180944,0.0978192511330323,1.16804899669477,0.186793023180944,0.432864607716461,0.999092027079133,9.63773005670047,-0.127366735480775,-1.3043059192486,"B11",5,"False","SWIR1",20.9867753823598,"Switzerland",5,2,NA
"30",30,"spectral","2026-06-18_spectral_g20","33NTG","33NTG_spectral_B11_I_5",2020,FALSE,22.6382421888071,0.358249764122171,0.470087158809873,1.60794383271536,2.10990717523334,0.470087158809873,0.719644513017571,0.999252374333081,15.5793925382834,-0.151929268434015,-0.965775605512949,"B11",5,"False","SWIR1",7.86928232908249,"Cameroon",5,2,NA
"31",31,"spectral","2026-06-18_spectral_g20","35VML","35VML_spectral_B11_I_5",2020,FALSE,2.96252191326048,0.282853676910364,0.286064686004086,10.5555483724966,10.675376978522,0.286064686004086,0.535055720662549,0.971454477021401,1.91357601637051,0.0690374827767914,3.74280512547957,"B11",5,"False","SWIR1",8.15899014870326,"Finland",5,2,NA
"32",32,"spectral","2026-06-18_spectral_g20","49NHC","49NHC_spectral_B11_I_5",2020,FALSE,40.4402977273534,0.336596145162098,0.380639813885607,0.839314407105922,0.94913885469025,0.380639813885607,0.623160799825607,0.996793109921653,6.5302920269146,0.0651817769709195,1.00820828185393,"B11",5,"False","SWIR1",7.61685282389323,"Malaysia",5,2,NA
"33",33,"spectral","2026-06-18_spectral_g20","32TMT","32TMT_spectral_B12_I_5",2020,FALSE,16.155399916509,0.16351740905321,0.564338712463055,1.02250256639251,3.52890732032297,0.564338712463055,0.790974340712343,0.997677075625557,9.34693592986784,-0.418160862313403,-4.28219884771872,"B12",5,"False","SWIR2",20.3779084881147,"Switzerland",5,2,NA
"34",34,"spectral","2026-06-18_spectral_g20","33NTG","33NTG_spectral_B12_I_5",2020,FALSE,22.2025350658104,-0.0774573588745149,0.078240095038363,-0.34765433218324,0.351167511851025,0.078240095038363,0.279714309677489,0.999856060516149,15.6973891523535,-0.0339326543638681,-0.215701228293344,"B12",5,"False","SWIR2",8.32134354511897,"Cameroon",5,2,NA
"35",35,"spectral","2026-06-18_spectral_g20","35VML","35VML_spectral_B12_I_5",2020,FALSE,3.19392157955469,0.51425334320457,0.571343887648912,19.1909332740764,21.3214412104657,0.571343887648912,0.886799560714944,0.969329225694625,2.35050736661635,0.505968833022634,27.4306458665764,"B12",5,"False","SWIR2",7.77263037761052,"Finland",5,2,NA
"36",36,"spectral","2026-06-18_spectral_g20","49NHC","49NHC_spectral_B12_I_5",2020,FALSE,40.073541445423,-0.030160136768302,0.0304053778201181,-0.0752053690268208,0.07581688627371,0.0304053778201181,0.17437137901651,0.999647134093185,6.46109200898577,-0.00401824095791614,-0.0621527058715069,"B12",5,"False","SWIR2",6.62024617195129,"Malaysia",5,2,NA
"37",37,"spectral","2026-06-18_spectral_g20","32TMT","32TMT_spectral_B02_I_10",2020,FALSE,16.5288450828783,0.53696257542251,0.773240672047634,3.35771961288589,4.83520731025339,0.773240672047634,1.02877691319519,0.996632812424909,9.37310071290121,-0.391996079280032,-4.01425697688831,"B02",10,"False","Blue",19.0039948344231,"Switzerland",10,2,NA
