mode,run,tile,out_name,year,original,mean_height,mean_change,mean_abs_change,relative_mean_change,relative_mean_abs_change,mae,rmse,correlation,SD,sd_change,relative_sd_change,wasserstein,q05_shift,q25_shift,q50_shift,q75_shift,q95_shift,shuffle_percentage,patch_size,shuffle_type,time_min
shuffle,2026-06-22_shuffle_g6,34UFD,34UFD_original,2020,TRUE,3.80623993692356,0,0,0,0,0,0,1,3.29873258176482,0,0,0,0,0,0,0,0,0,1,local,23.1759901364644
shuffle,2026-06-22_shuffle_g6,33NTG,33NTG_original,2020,TRUE,22.2799924246849,0,0,0,0,0,0,1,15.7313218067174,0,0,0,0,0,0,0,0,0,1,local,12.6738656878471
shuffle,2026-06-22_shuffle_g6,33NTG,33NTG_shuffle_2.5_ 1x 1_local,2020,FALSE,21.3994659024842,-0.880528427894738,1.63727797392959,-3.95210346482957,7.34864627724409,1.63727797392959,2.07373497143571,0.995553648893032,14.5084739704913,-1.22286404677728,-7.7734268085456,1.40503959280864,1,1,-1,-2,-2,2.5,1,local,23.5682679096858
shuffle,2026-06-22_shuffle_g6,34UFD,34UFD_shuffle_2.5_ 1x 1_local,2020,FALSE,4.26898760310197,0.462747666178407,0.778534921925483,12.1576062951099,20.454173536804,0.778534921925483,1.17845701727072,0.945233122345228,2.99414582636802,-0.304586755396798,-9.23344793332246,0.567969586675503,0,1,1,0,0,2.5,1,local,33.2066687822342
shuffle,2026-06-22_shuffle_g6,33NTG,33NTG_shuffle_5.0_ 1x 1_local,2020,FALSE,20.5340951874254,-1.74590211625565,3.0052976065018,-7.83618638933674,13.4887700637435,3.0052976065018,3.54957905221394,0.990612754320707,13.3640134635686,-2.36734037543171,-15.0485482664736,2.72181823076157,1,2,-3,-4,-4,5,1,local,22.3164531230926
shuffle,2026-06-22_shuffle_g6,34UFD,34UFD_shuffle_5.0_ 1x 1_local,2020,FALSE,4.63985512111739,0.833615184193832,1.24956362516967,21.901277849226,32.8293445993225,1.24956362516967,1.68307545389488,0.898374633161206,2.76725665231328,-0.531475929451545,-16.1115190843147,1.00565562632587,1,1,1,1,-1,5,1,local,34.9062414924304
shuffle,2026-06-22_shuffle_g6,33NTG,33NTG_shuffle_10.0_ 1x 1_local,2020,FALSE,18.885182340733,-3.39481449686052,5.36841531040284,-15.2370510714453,24.0952247414353,5.36841531040284,6.16948069272624,0.979469720151291,11.3487821227877,-4.38259122681731,-27.8589232447868,5.04027313334381,2,3,-6,-8,-7,10,1,local,22.7922747691472
shuffle,2026-06-22_shuffle_g6,34UFD,34UFD_shuffle_10.0_ 1x 1_local,2020,FALSE,5.16230197687229,1.35606203994873,1.87227475523614,35.6273399055547,49.1896145871829,1.87227475523614,2.33431825978055,0.821294909107149,2.44762113156335,-0.851111450201468,-25.801165420512,1.60645487849923,1,2,2,1,-1,10,1,local,33.6670531709989
shuffle,2026-06-22_shuffle_g6,33NTG,33NTG_shuffle_15.0_ 1x 1_local,2020,FALSE,17.4543245237206,-4.82567414321863,7.26933529233638,-21.6592209692514,32.6271801044727,7.26933529233638,8.34285360092178,0.967607780834593,9.69522877895127,-6.03615713372992,-38.3701548435356,6.92505497942179,3,4,-8,-11,-10,15,1,local,23.7462402939796
shuffle,2026-06-22_shuffle_g6,34UFD,34UFD_shuffle_15.0_ 1x 1_local,2020,FALSE,5.48652314325184,1.68028320632828,2.24949375088647,44.1454883079807,59.1001562740328,2.24949375088647,2.72312088292507,0.765529440244662,2.22960388094617,-1.06912870081865,-32.4102871123511,1.97548367281414,2,3,3,1,-1,15,1,local,34.6239945729574
